FR,AL,AT,ET,ES,UE,UL,FL
6,3.48,0.96,34,114452,0.94,0.87,3
6,5.19,1.25,29,53288,0.94,1.23,3
6,5.3,1.25,20,55202,0.94,1.24,3
5,27.86,1.09,11,34890,0.73,1.2,3
6,4.79,0.97,27,64969,0.93,0.88,2
6,7.04,0.97,10,29783,0.61,1.06,3
6,7.19,0.97,20,50009,0.94,0.87,3
6,10.11,0.96,7,49334,0.66,1.05,2
5,13.05,0.83,5,32200,0.61,0.82,3
6,11.33,0.71,13,47052,0.71,0.55,3
6,16.83,0.99,1,39518,0.54,1.14,2
6,5.03,0.95,15,97008,0.87,0.94,2
5,23.0,0.8,3,35539,0.47,0.65,3
6,6.2,1.4,14,29090,0.94,1.35,2
6,14.88,0.92,9,38428,0.51,1.07,3
4,31.19,1.03,6,23838,0.44,1.22,3
6,6.84,1.39,15,37198,0.85,1.28,2
6,17.59,0.84,12,31823,0.53,0.88,2
6,11.21,1.4,16,34901,0.9,1.27,3
6,18.68,0.71,0,24656,0.59,0.57,3
6,6.44,1.37,4,30493,0.89,1.32,2
6,32.91,1.06,7,30947,0.87,1.19,2
6,7.47,0.74,5,84225,0.72,0.63,2
6,32.79,1.0,8,24423,0.5,1.15,3
5,15.88,0.79,10,31138,0.55,0.73,2
6,11.25,0.9,7,33163,0.65,0.99,1
6,3.43,1.15,0,577589,1.07,1.16,3
6,9.49,1.43,8,25366,0.88,1.41,3
6,7.08,1.34,3,28425,0.97,1.32,3
6,8.27,1.42,9,24215,0.94,1.34,3
6,13.46,1.47,3,16804,0.85,1.35,3
6,7.57,1.41,8,14909,0.98,1.32,3
6,5.49,0.94,14,35110,0.89,0.9,2
6,7.71,1.4,8,25686,0.89,1.31,3
6,15.8,0.73,5,32870,0.62,0.77,2
4,23.42,0.94,9,29866,0.69,1.04,3
4,27.83,1.09,6,10881,0.75,1.2,3
6,11.38,1.46,5,23027,0.94,1.3,3
6,4.38,0.89,10,53972,0.89,0.9,2
6,8.56,1.43,1,28204,0.99,1.32,3
6,7.51,1.46,11,18626,0.91,1.39,3
6,21.38,1.0,13,23524,1.15,1.15,3
6,7.71,1.4,1,29874,0.95,1.35,2
5,15.89,0.76,0,14846,0.59,0.69,3
6,13.06,1.21,0,21971,0.88,1.3,2
6,34.9,1.03,4,18503,0.54,1.18,3
6,5.75,1.02,5,37231,0.95,1.02,2
6,5.43,1.36,9,19650,0.98,1.29,3
6,6.84,1.4,2,23956,0.89,1.34,3
5,6.03,0.86,8,3520,1.06,0.89,3
6,3.87,0.8,5,80298,0.98,0.77,2
6,8.42,1.43,3,20286,0.93,1.41,2
6,25.68,0.89,7,34242,0.61,0.91,2
5,15.15,1.41,3,29046,0.83,1.28,2
6,10.46,1.35,2,25814,0.89,1.3,2
6,6.59,0.83,19,87650,0.72,0.85,2
6,9.68,1.35,6,35935,0.96,1.24,2
6,5.7,0.87,2,62125,0.99,0.84,3
6,13.17,1.15,0,14423,0.86,1.06,2
5,9.13,0.82,5,35410,0.91,0.72,2
6,10.52,1.38,3,20684,0.92,1.3,2
6,9.55,1.29,4,25261,0.89,1.25,2
6,8.73,0.94,1,22629,1.04,0.97,2
6,7.29,0.85,12,94215,0.87,0.81,3
6,23.34,1.06,2,30148,0.65,1.15,1
6,8.33,1.43,8,16222,0.94,1.48,3
5,18.58,0.94,8,18253,0.76,1.03,3
5,21.58,1.01,10,17859,0.64,1.08,3
6,3.71,0.62,0,34588,1.46,0.36,3
6,24.45,0.93,3,13817,0.87,1.08,3
6,31.35,0.81,2,21218,0.42,0.77,2
6,11.13,1.24,9,22910,0.95,1.31,2
6,4.89,0.77,4,28972,0.47,0.65,2
6,11.93,1.18,3,15099,0.82,1.09,2
5,17.46,0.81,2,21478,0.56,0.76,2
6,32.67,0.99,0,21027,0.63,1.1,1
6,16.0,1.0,1,27048,0.6,1.15,1
4,45.0,1.02,3,9842,0.46,1.2,2
6,7.01,1.18,1,91790,1.13,1.19,2
5,9.04,1.03,20,56227,0.87,1.05,3
6,21.93,0.78,4,29319,0.56,0.71,1
5,5.49,0.96,7,42404,0.95,0.99,2
6,11.47,1.39,5,15327,0.82,1.28,2
6,8.76,0.78,2,38461,1.66,0.56,2
6,7.52,1.04,3,57725,0.95,0.98,2
6,4.62,0.78,3,25317,1.02,0.7,3
6,11.33,1.39,0,33104,0.68,1.26,3
6,14.14,1.17,1,12633,0.76,1.18,3
6,19.96,1.02,6,14506,0.59,1.16,3
6,10.5,1.39,10,17886,0.93,1.35,3
6,8.09,1.28,6,52695,1.03,1.23,1
6,15.66,0.97,4,20113,0.47,1.1,1
6,5.59,1.43,8,59193,1.04,1.37,3
6,10.52,1.27,0,18635,0.96,1.2,3
5,32.0,1.06,0,26666,0.74,1.24,1
6,7.32,0.95,2,78493,0.88,0.96,2
6,10.57,1.3,14,41093,0.91,1.25,3
6,36.38,1.23,2,9444,2.42,1.26,2
6,65.09,1.05,2,13956,0.71,1.24,3
6,12.83,1.05,0,3490,1.3,0.93,3
6,9.08,1.23,7,69676,0.98,1.17,3
6,8.38,1.45,9,16903,1.01,1.32,3
5,13.21,1.05,12,14207,0.99,0.89,3
6,7.82,1.12,13,73584,1.0,1.03,3
6,14.91,1.0,5,52151,1.14,1.12,3
6,8.11,1.39,6,16862,1.0,1.27,3
6,12.91,1.44,0,12625,0.92,1.32,3
6,4.98,0.78,8,40378,0.99,0.74,3
6,21.06,0.89,0,0,0.66,0.91,3
6,20.41,0.85,3,3317,0.75,0.92,3
6,5.11,0.84,7,33630,1.03,0.78,2
6,21.43,0.72,3,36489,0.46,0.62,2
6,13.42,1.43,5,12584,0.86,1.42,3
5,32.35,0.93,7,9880,0.76,1.03,3
4,41.87,0.75,0,17442,0.43,0.59,2
6,8.63,0.95,15,31622,0.86,0.97,2
6,9.57,1.23,6,15101,0.96,1.18,2
6,5.47,0.87,2,112900,0.58,0.87,2
6,7.86,0.98,3,168892,0.97,0.85,2
6,8.76,1.41,11,26378,0.98,1.35,2
6,7.26,0.9,9,53791,0.83,0.9,2
4,17.79,0.73,2,27886,0.56,0.63,2
6,14.08,1.46,5,10168,0.93,1.35,3
6,10.97,1.21,12,70376,0.99,1.22,2
5,19.0,0.95,1,15295,0.9,1.13,2
6,8.83,0.96,0,16611,0.86,0.99,2
5,10.78,1.32,0,17063,1.06,1.26,2
6,25.88,0.98,2,18099,0.47,1.11,1
6,11.14,1.4,1,35659,0.94,1.36,2
6,13.02,1.36,2,27447,0.77,1.22,2
6,24.5,0.78,0,3204,0.7,0.65,3
6,3.78,0.68,17,111936,1.17,0.62,3
4,42.46,0.97,2,11590,0.4,1.16,3
5,30.74,0.66,2,5532,0.55,0.5,2
6,7.97,0.79,0,18561,0.89,0.69,2
6,12.88,1.42,10,15570,0.89,1.42,2
6,7.15,1.0,9,58498,0.15,0.88,3
6,21.06,0.9,0,0,1.29,0.9,1
5,7.43,0.99,9,13829,0.92,0.91,3
6,8.6,1.42,3,57452,1.02,1.4,3
6,6.62,0.82,12,45107,0.85,0.87,3
6,11.48,1.43,15,24082,0.92,1.33,2
6,6.45,0.67,3,56462,1.09,0.56,2
6,24.17,1.44,13,20358,0.77,1.44,2
6,9.05,1.07,6,37568,0.99,0.95,2
5,6.32,0.84,1,20245,0.91,0.76,3
4,33.94,0.68,3,0,0.57,0.4,3
6,5.82,0.79,13,57663,1.04,0.72,2
5,16.41,1.15,1,17760,0.87,1.08,2
4,33.06,0.99,1,1909,0.56,1.16,3
6,24.0,0.99,5,8766,0.47,1.16,3
6,8.87,1.28,0,18145,0.98,1.18,3
6,8.8,1.26,5,15690,1.03,1.18,2
5,7.87,0.74,7,63575,0.85,0.75,2
6,35.06,0.93,2,9962,0.47,1.05,3
5,18.37,1.37,0,33300,0.97,1.32,3
6,7.02,1.3,10,70438,1.01,1.24,2
5,7.82,0.84,3,47777,0.81,0.9,3
6,5.69,0.75,14,37509,1.05,0.67,2
6,9.2,1.41,0,18355,0.63,1.28,2
6,9.23,0.84,12,96781,0.87,0.79,3
6,6.1,0.8,1,24136,1.04,0.73,2
6,12.33,1.45,7,14609,0.98,1.35,3
5,6.67,0.91,11,31020,1.0,0.92,2
6,3.98,0.72,4,37189,1.22,0.58,3
6,7.04,0.6,6,77086,1.4,0.42,2
5,6.8,0.84,1,23279,1.09,0.78,3
5,46.54,1.04,3,3488,0.52,1.22,3
6,4.91,0.84,5,20033,1.08,0.75,3
5,8.97,1.38,0,6628,1.05,1.3,3
6,12.91,1.37,0,74170,0.91,1.33,3
6,8.84,1.41,4,11978,1.01,1.31,3
6,18.31,0.93,6,14729,0.7,1.02,2
6,5.06,0.7,5,23760,1.09,0.6,3
6,28.39,1.03,3,14964,0.94,1.14,1
5,53.5,1.01,3,18724,0.45,1.19,1
6,8.37,0.84,10,79008,0.95,0.8,2
6,10.34,1.09,0,14144,1.03,0.93,2
6,6.23,0.79,6,45105,1.02,0.73,3
6,5.91,1.42,2,13363,1.05,1.25,2
6,14.67,1.39,7,12273,0.91,1.27,1
4,36.23,1.02,2,3146,0.56,1.2,3
5,12.94,1.39,0,6450,0.89,1.31,3
5,8.48,0.8,22,29177,0.94,0.75,2
5,12.08,1.18,0,11293,0.95,1.08,3
6,6.58,0.75,8,31597,0.93,0.7,3
6,39.14,0.68,0,15956,0.43,0.53,3
6,10.98,1.05,0,15627,0.94,1.0,3
6,11.36,1.26,3,14878,0.9,1.23,1
6,9.0,1.29,5,14790,1.03,1.27,3
6,59.18,1.02,0,7115,0.85,1.19,3
5,12.28,1.46,10,15194,1.08,1.25,3
6,5.92,0.7,12,39590,1.11,0.59,2
6,12.29,1.4,16,19415,0.94,1.35,1
6,9.29,1.37,0,36985,0.92,1.23,1
5,15.74,0.63,0,3745,0.62,0.52,3
6,6.43,0.82,3,45820,0.94,0.72,3
5,17.12,0.74,0,6690,0.82,0.55,3
6,12.35,1.3,3,14290,0.91,1.26,3
4,33.13,0.67,0,10567,0.4,0.61,1
6,5.78,0.68,11,21733,1.01,0.61,2
6,10.17,1.34,5,20455,1.02,1.31,2
6,6.33,1.01,2,86902,0.96,0.97,3
6,9.59,0.78,3,35570,1.17,0.72,2
5,12.84,1.33,0,17179,0.9,1.3,3
5,42.8,1.06,1,5309,0.83,1.21,2
6,9.09,0.8,13,40863,0.77,0.89,2
6,8.36,1.04,3,35882,1.1,0.94,3
5,56.08,0.88,4,6976,0.39,0.99,3
6,5.85,1.07,0,15019,1.15,1.02,3
